user_global_idx,attenuation_db,seed_nmse_db,aug_nmse_db
3330,15.027462355489227,56.755062,61.256176
8053,9.750168535884702,20.497454,24.97124
3584,-1.647695715220172e-09,31.860857,36.37588
9325,36.77610612073008,20.43339,22.201595
5645,29.864868393802332,40.88743,45.450916
3376,10.901849852196314,51.211823,55.70743
1256,6.924615463137725,-4.9024343,-9.176399
6190,26.526907166391133,90.8765,95.34917
5348,40.71425663926053,75.009636,79.50107
4175,6.907034531375174,28.877066,33.406715
4910,18.603942340077676,6.1530137,9.359384
1852,25.659525807879994,6.456087,1.6590966
6316,95.69930047510195,158.77696,163.2662
9732,26.54211371990247,5.084143,3.6956353
2105,17.82233610457444,0.051376253,-1.0777395
133,27.01678063490837,41.932377,46.46032
5029,28.03647186485442,11.867547,14.05651
928,21.79629562719429,1.4985691,0.55280715
823,2.4952971619901173e-07,-11.39533,-13.483786
7576,7.735766502019362,24.296343,28.81488
1531,10.511970237278314,25.004835,29.510376
1214,11.877932952176877,-0.11066267,-2.4240737
504,35.379957123734535,21.066051,10.446858
6530,30.203060897897007,71.352585,75.856026
3072,28.405565716987624,22.176823,26.544971
9086,6.104144669395318,2.097173,3.7572198
8647,0.0003771675087157482,3.5380154,6.582532
6619,33.811009242762026,86.25101,90.75883
9273,55.005347206350734,40.51764,43.606155
3709,6.024030766947794,34.728645,39.238476
4849,32.376921707879475,16.37026,17.635113
4748,45.970871040450554,48.86725,53.411797
4268,3.764734429260857e-10,20.944519,25.447968
9755,22.109188132232465,2.7100646,2.0068016
8905,16.235860564561726,12.592935,16.922426
4186,1.128027839819011e-09,21.859064,26.349022
5301,12.964814362572866,14.012445,18.43916
2923,22.10073983785533,12.6219845,16.48648
6588,24.68885300418503,83.421394,87.88397
1810,35.566680245880214,14.834914,11.649832
3486,2.7550247470934314e-09,35.12505,39.64076
7419,23.926730570786706,44.10748,48.60736
3141,0.3760059601029069,-1.2695282,0.04088026
1324,16.92008280128173,4.2371755,-2.591964
4312,-3.1783090581178427e-09,19.69505,24.195095
7494,7.568644870558053,26.33034,30.815084
8702,0.00031450931661988117,2.8893993,5.799885
8691,0.00034131085149175454,3.0233238,5.9234877
9385,26.328221721612547,53.352207,57.86261
5541,16.36204417696893,28.790241,33.298172
6172,29.84828228565715,94.27773,98.74217
1540,-1.0915543195661634,15.403589,19.831253
2681,27.476721629265178,59.972042,64.48861
9759,11.147240046953971,-5.554445,-0.90905523
6313,99.40423652204309,162.45805,166.92532
1191,21.72558092803385,9.047707,-0.28277633
5293,25.489884302461302,59.592323,64.102425
1542,1.378490998231311,14.045101,18.456112
7056,0.3934745997774283,32.03465,36.548378
2539,31.781204114151254,64.92113,69.434265
953,6.988949818941603,-7.467972,-6.828656
7241,0.48590062102756454,25.556982,30.048832
6731,16.568843892476263,68.49746,72.975655
4846,27.984273752548635,10.253637,10.242683
6801,27.983816790017855,73.51174,77.9944
8010,21.53579330136569,36.106888,40.61255
4330,-3.508337115378972e-09,19.153566,23.65886
8924,30.391430235023854,26.22124,30.614895
5334,20.416387297320874,23.046192,27.515219
7330,19.806786688844312,42.56505,47.069187
9348,33.286994637947835,16.761768,18.278717
4729,39.9299944656951,44.77939,49.327835
6541,50.06351752773326,91.68861,96.195595
5305,15.531835478088556,16.80078,21.234768
5161,14.42482307729353,26.161701,30.686413
7860,6.681155001841871,17.695745,22.187916
2156,16.573384909554182,-1.108845,-2.1196136
1062,8.578920457944873,-3.299037,-3.1064618
1167,10.727449188390457,-2.6002502,-8.095872
3636,9.240479338109164,40.061584,44.575447
7651,28.802342400849952,44.39474,48.919876
5588,22.091849481909065,34.839996,39.34177
7192,0.5095520206916144,26.909203,31.402739
4491,9.5990093879719,23.746958,28.283875
7266,0.5647714462122532,25.283375,29.747452
4980,17.910314934863443,9.39616,13.145004
8335,20.014996993713424,32.969604,37.472794
9829,13.646087090537192,0.697186,-1.9721398
4946,26.45669626059606,15.958418,19.866104
2782,18.135263243262898,7.1191125,10.2537
717,18.767703003443966,0.5019255,-0.57094735
2502,29.859192397931036,62.867348,67.36095
4360,-1.939181532164405e-09,18.494799,23.001926
4171,9.658521953037557,31.975037,36.466286
8082,19.98760670720715,33.3165,37.857513
9638,44.66381729726061,20.815,20.1379
395,30.29089864185206,32.807,37.31488
7186,0.5209250364843097,27.130253,31.644073
9700,40.00131576441456,16.76413,13.61575
4492,10.432806420172259,24.6829,29.157026
1365,13.946160643962104,1.1508151,-6.4634733
9408,19.924992024532795,5.1859164,6.4826994
8787,2.2796788092808504e-09,2.0256763,4.6125154
5917,63.034218792658514,121.498566,125.963455
4968,16.047013947204732,6.526532,9.88875
2914,15.383219911898413,8.009576,11.791825
5644,34.78002388652479,45.91097,50.434578
3766,15.7263311056048,46.235012,50.768223
3440,-1.6342717947169448e-09,37.16944,41.68052
7357,17.727255387789832,39.170776,43.696053
6806,20.307037690287046,65.39798,69.894
2143,11.2160451911262,-5.2465386,-4.4353185
5104,24.712617384490482,12.261342,15.586592
5073,25.565344827232842,12.59696,15.919839
1571,2.6679180526785458,16.24649,20.67994
4079,13.04447887415998,38.913418,43.41913
1122,0.009896631544879997,-2.298121,-2.673359
2786,22.998394889080632,12.4328375,16.062534
2967,11.88977906081595,1.3403606,3.2438157
2504,21.016554589118293,53.862324,58.36138
5988,17.975170565880237,83.16216,87.62871
8867,1.024728984106635e-08,0.92193335,3.570056
7164,0.5209522934119368,28.096226,32.57183
