x y z
104.7520 47.1404 2.0000
104.6860 47.1422 2.0000
104.6190 47.1442 2.0000
104.5520 47.1462 2.0000
104.4860 47.1482 2.0000
104.4190 47.1503 2.0000
104.3520 47.1525 2.0000
104.2860 47.1547 2.0000
104.2190 47.1569 2.0000
104.1530 47.1593 2.0000
104.0860 47.1616 2.0000
104.0190 47.1641 2.0000
103.9530 47.1665 2.0000
103.8860 47.1691 2.0000
103.8190 47.1717 2.0000
103.7530 47.1743 2.0000
103.6860 47.1770 2.0000
103.6200 47.1798 2.0000
103.5530 47.1826 2.0000
103.4860 47.1855 2.0000
103.4200 47.1884 2.0000
103.3530 47.1914 2.0000
103.2870 47.1945 2.0000
103.2200 47.1976 2.0000
103.1530 47.2007 2.0000
103.0870 47.2040 2.0000
103.0200 47.2072 2.0000
102.9540 47.2106 2.0000
102.8870 47.2140 2.0000
102.8210 47.2174 2.0000
102.7540 47.2209 2.0000
102.6870 47.2245 2.0000
102.6210 47.2281 2.0000
102.5540 47.2318 2.0000
102.4880 47.2356 2.0000
102.4210 47.2394 2.0000
102.3550 47.2433 2.0000
102.2880 47.2472 2.0000
102.2210 47.2512 2.0000
102.1550 47.2552 2.0000
102.0880 47.2593 2.0000
102.0220 47.2635 2.0000
101.9550 47.2678 2.0000
101.8890 47.2720 2.0000
101.8220 47.2764 2.0000
101.7560 47.2808 2.0000
101.6890 47.2853 2.0000
101.6230 47.2898 2.0000
101.5560 47.2944 2.0000
101.4900 47.2991 2.0000
101.4230 47.3038 2.0000
101.3570 47.3086 2.0000
101.2900 47.3135 2.0000
101.2240 47.3184 2.0000
101.1570 47.3233 2.0000
101.0910 47.3284 2.0000
101.0240 47.3335 2.0000
100.9580 47.3387 2.0000
100.8910 47.3439 2.0000
100.8250 47.3492 2.0000
100.7580 47.3545 2.0000
100.6920 47.3600 2.0000
100.6260 47.3654 2.0000
100.5590 47.3710 2.0000
100.4930 47.3766 2.0000
100.4260 47.3823 2.0000
100.3600 47.3880 2.0000
100.2930 47.3938 2.0000
100.2270 47.3997 2.0000
100.1610 47.4057 2.0000
100.0940 47.4117 2.0000
100.0280 47.4177 2.0000
99.9615 47.4239 2.0000
99.8951 47.4301 2.0000
99.8287 47.4363 2.0000
99.7624 47.4427 2.0000
99.6960 47.4491 2.0000
99.6296 47.4555 2.0000
99.5633 47.4621 2.0000
99.4970 47.4687 2.0000
99.4306 47.4754 2.0000
99.3643 47.4821 2.0000
99.2980 47.4889 2.0000
99.2317 47.4958 2.0000
99.1654 47.5027 2.0000
99.0991 47.5097 2.0000
99.0328 47.5168 2.0000
98.9665 47.5240 2.0000
98.9002 47.5312 2.0000
98.8340 47.5385 2.0000
98.7677 47.5458 2.0000
98.7014 47.5532 2.0000
98.6352 47.5607 2.0000
98.5690 47.5683 2.0000
98.5027 47.5759 2.0000
98.4365 47.5836 2.0000
98.3703 47.5914 2.0000
98.3041 47.5992 2.0000
98.2379 47.6071 2.0000
98.1717 47.6151 2.0000
98.1055 47.6232 2.0000
98.0394 47.6313 2.0000
97.9732 47.6395 2.0000
97.9071 47.6478 2.0000
97.8409 47.6561 2.0000
97.7748 47.6645 2.0000
97.7087 47.6730 2.0000
97.6425 47.6815 2.0000
97.5764 47.6902 2.0000
97.5103 47.6989 2.0000
97.4442 47.7076 2.0000
97.3782 47.7165 2.0000
97.3121 47.7254 2.0000
97.2460 47.7344 2.0000
97.1800 47.7434 2.0000
97.1140 47.7525 2.0000
97.0479 47.7617 2.0000
96.9819 47.7710 2.0000
96.9159 47.7803 2.0000
96.8499 47.7898 2.0000
96.7839 47.7992 2.0000
96.7179 47.8088 2.0000
96.6520 47.8184 2.0000
96.5860 47.8281 2.0000
96.5201 47.8379 2.0000
96.4541 47.8477 2.0000
96.3882 47.8577 2.0000
96.3223 47.8677 2.0000
96.2564 47.8777 2.0000
96.1905 47.8879 2.0000
96.1246 47.8981 2.0000
96.0587 47.9084 2.0000
95.9929 47.9187 2.0000
95.9270 47.9291 2.0000
95.8612 47.9396 2.0000
95.7954 47.9502 2.0000
95.7296 47.9609 2.0000
95.6638 47.9716 2.0000
95.5980 47.9824 2.0000
95.5322 47.9932 2.0000
95.4665 48.0042 2.0000
95.4007 48.0152 2.0000
95.3350 48.0263 2.0000
95.2692 48.0375 2.0000
95.2035 48.0487 2.0000
95.1378 48.0600 2.0000
95.0721 48.0714 2.0000
95.0065 48.0828 2.0000
94.9408 48.0944 2.0000
94.8751 48.1060 2.0000
94.8095 48.1177 2.0000
94.7439 48.1294 2.0000
94.6783 48.1412 2.0000
94.6127 48.1531 2.0000
94.5471 48.1651 2.0000
94.4815 48.1772 2.0000
94.4160 48.1893 2.0000
94.3504 48.2015 2.0000
94.2849 48.2138 2.0000
94.2194 48.2261 2.0000
94.1539 48.2385 2.0000
94.0884 48.2510 2.0000
94.0229 48.2636 2.0000
93.9575 48.2762 2.0000
93.8920 48.2890 2.0000
93.8266 48.3018 2.0000
93.7612 48.3146 2.0000
93.6958 48.3276 2.0000
93.6304 48.3406 2.0000
93.5651 48.3537 2.0000
93.4997 48.3669 2.0000
93.4344 48.3801 2.0000
93.3690 48.3934 2.0000
93.3037 48.4068 2.0000
93.2385 48.4203 2.0000
93.1732 48.4339 2.0000
93.1079 48.4475 2.0000
93.0427 48.4612 2.0000
92.9774 48.4750 2.0000
92.9122 48.4888 2.0000
92.8470 48.5027 2.0000
92.7819 48.5167 2.0000
92.7167 48.5308 2.0000
92.6515 48.5450 2.0000
92.5864 48.5592 2.0000
92.5213 48.5735 2.0000
92.4562 48.5879 2.0000
92.3911 48.6024 2.0000
92.3261 48.6169 2.0000
92.2610 48.6315 2.0000
92.1960 48.6462 2.0000
92.1310 48.6610 2.0000
92.0660 48.6758 2.0000
92.0010 48.6907 2.0000
91.9360 48.7057 2.0000
91.8711 48.7208 2.0000
91.8062 48.7359 2.0000
91.7413 48.7511 2.0000
91.6764 48.7664 2.0000
91.6115 48.7818 2.0000
91.5467 48.7973 2.0000
91.4818 48.8128 2.0000
91.4170 48.8284 2.0000
91.3522 48.8441 2.0000
91.2875 48.8599 2.0000
91.2227 48.8757 2.0000
91.1580 48.8916 2.0000
91.0932 48.9076 2.0000
91.0285 48.9237 2.0000
90.9639 48.9398 2.0000
90.8992 48.9560 2.0000
90.8345 48.9723 2.0000
90.7699 48.9887 2.0000
90.7053 49.0052 2.0000
90.6407 49.0217 2.0000
90.5762 49.0383 2.0000
90.5116 49.0550 2.0000
90.4471 49.0718 2.0000
90.3826 49.0886 2.0000
90.3181 49.1055 2.0000
90.2537 49.1225 2.0000
90.1892 49.1396 2.0000
90.1248 49.1568 2.0000
90.0604 49.1740 2.0000
89.9960 49.1913 2.0000
89.9317 49.2087 2.0000
89.8673 49.2262 2.0000
89.8030 49.2437 2.0000
89.7387 49.2614 2.0000
89.6744 49.2791 2.0000
89.6102 49.2968 2.0000
89.5460 49.3147 2.0000
89.4817 49.3326 2.0000
89.4176 49.3506 2.0000
89.3534 49.3687 2.0000
89.2892 49.3869 2.0000
89.2251 49.4052 2.0000
89.1610 49.4235 2.0000
89.0970 49.4419 2.0000
89.0329 49.4604 2.0000
88.9689 49.4790 2.0000
88.9049 49.4976 2.0000
88.8409 49.5163 2.0000
88.7769 49.5351 2.0000
88.7130 49.5540 2.0000
88.6491 49.5730 2.0000
88.5852 49.5920 2.0000
88.5213 49.6111 2.0000
88.4575 49.6303 2.0000
88.3937 49.6496 2.0000
88.3299 49.6690 2.0000
88.2661 49.6884 2.0000
88.2023 49.7079 2.0000
88.1386 49.7275 2.0000
88.0749 49.7472 2.0000
88.0113 49.7669 2.0000
87.9476 49.7868 2.0000
87.8840 49.8067 2.0000
87.8204 49.8267 2.0000
87.7568 49.8467 2.0000
87.6933 49.8669 2.0000
87.6297 49.8871 2.0000
87.5662 49.9074 2.0000
87.5028 49.9278 2.0000
87.4393 49.9483 2.0000
87.3759 49.9688 2.0000
87.3125 49.9895 2.0000
87.2491 50.0102 2.0000
87.1858 50.0310 2.0000
87.1225 50.0518 2.0000
87.0592 50.0728 2.0000
86.9959 50.0938 2.0000
86.9327 50.1149 2.0000
86.8695 50.1361 2.0000
86.8063 50.1574 2.0000
86.7431 50.1787 2.0000
86.6800 50.2001 2.0000
86.6169 50.2217 2.0000
86.5538 50.2432 2.0000
86.4908 50.2649 2.0000
86.4278 50.2867 2.0000
86.3648 50.3085 2.0000
86.3018 50.3304 2.0000
86.2389 50.3524 2.0000
86.1760 50.3745 2.0000
86.1131 50.3966 2.0000
86.0502 50.4189 2.0000
85.9874 50.4412 2.0000
85.9246 50.4636 2.0000
85.8619 50.4860 2.0000
85.7991 50.5086 2.0000
85.7364 50.5312 2.0000
85.6737 50.5540 2.0000
85.6111 50.5768 2.0000
85.5485 50.5996 2.0000
85.4859 50.6226 2.0000
85.4233 50.6456 2.0000
85.3608 50.6688 2.0000
85.2983 50.6920 2.0000
85.2358 50.7152 2.0000
85.1734 50.7386 2.0000
85.1110 50.7621 2.0000
85.0486 50.7856 2.0000
84.9863 50.8092 2.0000
84.9240 50.8329 2.0000
84.8617 50.8566 2.0000
84.7994 50.8805 2.0000
84.7372 50.9044 2.0000
84.6750 50.9284 2.0000
84.6128 50.9525 2.0000
84.5507 50.9767 2.0000
84.4886 51.0010 2.0000
84.4266 51.0253 2.0000
84.3645 51.0497 2.0000
84.3025 51.0742 2.0000
84.2406 51.0988 2.0000
84.1786 51.1235 2.0000
84.1167 51.1482 2.0000
84.0548 51.1731 2.0000
83.9930 51.1980 2.0000
83.9312 51.2230 2.0000
83.8694 51.2480 2.0000
83.8077 51.2732 2.0000
83.7460 51.2984 2.0000
83.6843 51.3237 2.0000
83.6227 51.3491 2.0000
83.5611 51.3746 2.0000
83.4995 51.4002 2.0000
83.4380 51.4258 2.0000
83.3765 51.4516 2.0000
83.3150 51.4774 2.0000
83.2536 51.5033 2.0000
83.1922 51.5292 2.0000
83.1308 51.5553 2.0000
83.0695 51.5814 2.0000
